459	呆	dai1/bao3/ai2
460	歹	dai3/e4/dai1
461	傣	dai3
462	戴	dai4
463	带	dai4
464	殆	dai4
465	代	dai4
466	贷	dai4
467	袋	dai4
468	待	dai4/dai1
469	逮	dai3/dai4/di4
470	怠	dai4/yi2
471	耽	dan1
472	担	dan1/dan3/jie1/dan4
473	丹	dan1
474	单	dan1/chan2/shan4
475	郸	dan1
476	掸	dan3/shan4
477	胆	dan3/tan2/tan3/da2
478	旦	dan4
479	氮	dan4
480	但	dan4/tan3/yan4
481	惮	dan4
482	淡	dan4/yan4/tan2
483	诞	dan4
484	弹	dan4/tan2
485	蛋	dan4
486	当	dang1/dang4
487	挡	dang3/dang4
488	党	dang3
489	荡	dang4
490	档	dang4
491	刀	dao1/diao1
492	捣	dao3
493	蹈	dao3
494	倒	dao4/dao3
495	岛	dao3
496	祷	dao3
497	导	dao3
498	到	dao4
499	稻	dao4
500	悼	dao4
501	道	dao4/dao3
502	盗	dao4
503	德	de2
504	得	de2/dei3/de
505	的	de/di4/di2
506	蹬	deng1/deng4
507	灯	deng1/ding1
508	登	deng1/de2
509	等	deng3
510	瞪	deng4
511	凳	deng4
512	邓	deng4/shan1
513	堤	di1/ti2/di3/shi2/wei2
514	低	di1
515	滴	di1
516	迪	di2
517	敌	di2/hua2
518	笛	di2
519	狄	di2/ti4
520	涤	di2
521	翟	di2/zhai2
522	嫡	di2
523	抵	di3/zhi3/qi2
524	底	di3/de
525	地	de/di4
526	蒂	di4
527	第	di4
528	帝	di4
529	弟	di4/ti4/tui2
530	递	di4
531	缔	di4
532	颠	dian1
533	掂	dian1
534	滇	dian1/tian2/zhen1
535	碘	dian3
536	点	dian3
537	典	dian3/tian3
538	靛	dian4
539	垫	dian4
540	电	dian4
541	佃	dian4/tian2
542	甸	dian1/dian4/tian2/sheng4/ying4
543	店	dian4
544	惦	dian4
545	奠	dian4/ting2/ding4/zheng4/zun1
546	淀	dian4
547	殿	dian4
548	碉	diao1
549	叼	diao1
550	雕	diao1
551	凋	diao1
552	刁	diao1
553	掉	diao4/nuo2
554	吊	diao4
555	钓	diao4
556	调	diao4/tiao2
557	跌	die1/die2/tu2
558	爹	die1
559	碟	die2/she2
560	蝶	die2/tie1
561	迭	die2/yi4/da2
562	谍	die2
563	叠	die2
564	丁	ding1/zheng1
565	盯	ding1/cheng2
566	叮	ding1
567	钉	ding1/ding4
568	顶	ding3
569	鼎	ding3/zhen1
570	锭	ding4
571	定	ding4
572	订	ding4
573	丢	diu1
574	东	dong1
575	冬	dong1
576	董	dong3/zhong3
577	懂	dong3
578	动	dong4
579	栋	dong4
580	侗	dong4/tong1/tong2/tong3
581	恫	dong4/tong1
582	冻	dong4
583	洞	dong4/tong2
584	兜	dou1
585	抖	dou3
586	斗	dou4/dou3/zhu3
587	陡	dou3
588	豆	dou4
589	逗	dou4/zhu4/tou2/qi2
590	痘	dou4
591	都	dou1/du1
592	督	du1
593	毒	du2/dai4
594	犊	du2
595	独	du2
596	读	du2/dou4
597	堵	du3/zhe3/du1
598	睹	du3
599	赌	du3
600	杜	du4/du3/tu2
601	镀	du4
602	肚	du4/du3
603	度	du4/duo2/zhai2
604	渡	du4
605	妒	du4
606	端	duan1
607	短	duan3
608	锻	duan4
609	段	duan4
610	断	duan4
611	缎	duan4
612	堆	dui1/zui1
613	兑	dui4/rui4/duo2
614	队	dui4
615	对	dui4
616	墩	dun1
617	吨	dun1/tun2/tun3
618	蹲	dun1/zun2/cun2/zun1/cun3/cuan2/qun3
619	敦	dun1/dui1/tuan2/diao1/dun4/dao4/zhun3/tun1/dui4/tun2
620	顿	dun4/du2
621	囤	dun4/tun2
622	钝	dun4
623	盾	dun4/shun3/yun3
624	遁	dun4/qun1/xun2
625	掇	duo1/duo2/zhuo1
626	哆	duo1/chi3/zha4/chi4/duo4/die3
627	多	duo1
628	夺	duo2
629	垛	duo3/duo4
630	躲	duo3
631	朵	duo3
632	跺	duo4
633	舵	duo4
634	剁	duo4
635	惰	duo4/tuo2
636	堕	duo4/hui1
637	蛾	e2/yi3
638	峨	e2
639	鹅	e2
640	俄	e2
641	额	e2
642	讹	e2
643	娥	e2
644	恶	e4/e3/wu1/wu4
645	厄	e4/e3
646	扼	e4
647	遏	e4
648	鄂	e4
649	饿	e4
650	恩	en1
651	而	er2/neng2
652	儿	er2/ren2
653	耳	er3/reng2
654	尔	er3
655	饵	er3
656	洱	er3
657	二	er4
658	贰	er4
659	发	fa1/fa4
660	罚	fa2
661	筏	fa2
662	伐	fa2
663	乏	fa2
664	阀	fa2
665	法	fa3
666	珐	fa4
667	藩	fan1/fan2
668	帆	fan1/fan2/fan4
669	番	fan1/fan2/bo1/po2/pan1/pan2/pan4/pi2
670	翻	fan1
671	樊	fan2/fan4
672	矾	fan2
673	钒	fan2
674	繁	fan2/pan2/po2
675	凡	fan2
676	烦	fan2
677	反	fan3/fan4
678	返	fan3
679	范	fan4
680	贩	fan4
681	犯	fan4
682	饭	fan4
683	泛	fan4/feng3/fa2
684	坊	fang1/fang2
685	芳	fang1
686	方	fang1/fang2/fang3/pang2/wang3/feng1
687	肪	fang2
688	房	fang2/pang2
689	防	fang2
690	妨	fang2/fang1
691	仿	fang3/pang2
692	访	fang3
693	纺	fang3
694	放	fang4/fang3/fang1
695	菲	fei1/fei3/fei4
696	非	fei1/fei3
697	啡	fei1/pei4/pai2/pei1/bai4
698	飞	fei1
699	肥	fei2/bi3
700	匪	fei3/fei1/fen1
701	诽	fei3
702	吠	fei4
703	肺	fei4/pei4
704	废	fei4
705	沸	fei4/fu2
706	费	fei4
707	芬	fen1
708	酚	fen1
709	吩	fen1/pen4
710	氛	fen1
711	分	fen1/fen4/fen2/ban4
712	纷	fen1
713	坟	fen2
714	焚	fen2/fen4
715	汾	fen2/pen2/fen1
716	粉	fen3
717	奋	fen4/kang3
718	份	fen4/bin1
719	忿	fen4
720	愤	fen4
721	粪	fen4
722	丰	feng1
723	封	feng1/bian3
724	枫	feng1
725	蜂	feng1
726	峰	feng1
727	锋	feng1
728	风	feng1
729	疯	feng1
730	烽	feng1
731	逢	feng2/peng2/pang2
732	冯	feng2/ping2
733	缝	feng4/feng2
734	讽	feng4/feng3
735	奉	feng4
736	凤	feng4
737	佛	fu2/bo2/bi4/fo2
738	否	fou3/pi3
739	夫	fu1/fu2
740	敷	fu1
741	肤	fu1
742	孵	fu1
743	扶	fu2/pu2
744	拂	fu2/bi4/pi4/fei4
745	辐	fu2
746	幅	fu2/bi1
747	氟	fu2
748	符	fu2
749	伏	fu2/fu4
750	俘	fu2
751	服	fu2/fu4/bi4/bo2
752	浮	fu2
753	涪	fu2/pou2
754	福	fu2/fu4
755	袱	fu2
756	弗	fu2
757	甫	fu3/fu1/pu3
758	抚	fu3
759	辅	fu3
760	俯	fu3
761	釜	fu3
762	斧	fu3
763	脯	pu2/fu3
764	腑	fu3
765	府	fu3
766	腐	fu3
767	赴	fu4
768	副	fu4/pi4
769	覆	fu4
770	赋	fu4
771	复	fu4
772	傅	fu4/fu1
773	付	fu4
774	阜	fu4
775	父	fu4/fu3
776	腹	fu4
777	负	fu4
778	富	fu4
779	讣	fu4
780	附	fu4/bu4/fu1
781	妇	fu4
782	缚	fu4
783	咐	fu4/fu2
784	噶	ga2/ge2
785	嘎	ga1/ga2/ga3
786	该	gai1
787	改	gai3
788	概	gai4/gui4/jie2
789	钙	gai4
790	盖	gai4/ge3
791	溉	gai4/xie4
792	干	gan4/gan1/an4
793	甘	gan1/han1
794	杆	gan1/gan4/gan3
795	柑	gan1/qian2
796	竿	gan1/gan4/gan3
797	肝	gan1
798	赶	gan3/qian2
799	感	gan3/han4
800	秆	gan3
801	敢	gan3
802	赣	gan4
803	冈	gang1
804	刚	gang1
805	钢	gang1/gang4
806	缸	gang1
807	肛	gang1
808	纲	gang1
809	岗	gang3/gang1
810	港	gang3/hong4
811	杠	gang1/gong1/gang4
812	篙	gao1
813	皋	gao1/hao2/gu1
814	高	gao1/gao4
815	膏	gao1/gao4
816	羔	gao1
817	糕	gao1
818	搞	gao3/qiao1/kao4
819	镐	gao3/hao4
820	稿	gao3
821	告	gao4/ju1/gu4
822	哥	ge1
823	歌	ge1
824	搁	ge1/ge2
825	戈	ge1
826	鸽	ge1
827	胳	ge1/ge2/ga1
828	疙	ge1/yi4
829	割	ge1
830	革	ge2/ji2
831	葛	ge2/ge3
832	格	ge2/luo4/he4/ge1
833	蛤	ha2/ge2/ha1/e2
834	阁	ge2
835	隔	ge2/rong3/ji1
836	铬	ge4
837	个	ge4/gan4/ge3
838	各	ge4/ge3
839	给	gei3/ji3
840	根	gen1
841	跟	gen1
842	耕	geng1
843	更	geng4/geng1
844	庚	geng1
845	羹	geng1/lang2
846	埂	geng3
847	耿	geng3
848	梗	geng3
849	工	gong1
850	攻	gong1
851	功	gong1
852	恭	gong1
853	龚	gong1
854	供	gong1/gong4
855	躬	gong1
856	公	gong1
857	宫	gong1
858	弓	gong1
859	巩	gong3
860	汞	gong3
861	拱	gong3/ju4
862	贡	gong4
863	共	gong4/gong1/gong3/hong2
864	钩	gou1
865	勾	gou1/gou4
866	沟	gou1
867	苟	gou3/gou1
868	狗	gou3
869	垢	gou4
870	构	gou4
871	购	gou4
872	够	gou4
873	辜	gu1
874	菇	gu1
875	咕	gu1/gu
876	箍	gu1
877	估	gu1/gu4
878	沽	gu1/gu3
879	孤	gu1
880	姑	gu1
881	鼓	gu3
882	古	gu3/gu4/ku1
883	蛊	gu3
884	骨	gu3/gu2/gu1
885	谷	gu3/lu4/yu4
886	股	gu3
887	故	gu4
888	顾	gu4
889	固	gu4
890	雇	gu4/hu4
891	刮	gua1
892	瓜	gua1
893	剐	gua3
894	寡	gua3
895	挂	gua4
896	褂	gua4
897	乖	guai1
898	拐	guai3
899	怪	guai4
900	棺	guan1/guan4
901	关	guan1
902	官	guan1
903	冠	guan1/guan4
904	观	guan1/guan4
905	管	guan3
906	馆	guan3
907	罐	guan4
908	惯	guan4
909	灌	guan4/huan4
910	贯	guan4
911	光	guang1/guang4
912	广	guang3/yan3/an1
913	逛	guang4/kuang2
914	瑰	gui1
915	规	gui1
916	圭	gui1
917	硅	gui1/he4
918	归	gui1
919	龟	gui1/jun1/qiu1
920	闺	gui1
921	轨	gui3
922	鬼	gui3
923	诡	gui3
924	癸	gui3
925	桂	gui4/gui1
926	柜	gui4/ju3
927	跪	gui4
928	贵	gui4
929	刽	gui4
930	辊	gun3
931	滚	gun3
932	棍	gun4/hun4/ao1/gun3
933	锅	guo1
934	郭	guo1/guo2
935	国	guo2
936	果	guo3/luo3/guan4
937	裹	guo3
938	过	guo4/guo1
939	哈	ha1/ha4/he1/he2/ha3/ta4/sha4
940	骸	hai2/gai1
941	孩	hai2
942	海	hai3
943	氦	hai4
944	亥	hai4/jie1
945	害	hai4/he2
946	骇	hai4
947	酣	han1/han4
948	憨	han1
949	邯	han2/han4
950	韩	han2
951	含	han2/han4
952	涵	han2/han4
953	寒	han2
954	函	han2
955	喊	han3/kan4/jian1
956	罕	han3/han4
957	翰	han4
958	撼	han4
959	捍	han4/xian4/gan3
960	旱	han4
961	憾	han4/dan4
962	悍	han4
963	焊	han4
964	汗	han4/han2/gan1
965	汉	han4
966	夯	hang1/ben4
967	杭	hang2/kang4/kang1
968	航	hang2
969	壕	hao2
970	嚎	hao2
971	豪	hao2
972	毫	hao2
973	郝	hao3/shi4
974	好	hao3/hao4
975	耗	hao4/mao2/mao4
976	号	hao4/hao2/xiao1
977	浩	hao4/gao3/ge2
978	呵	he1/ha1/a1/a/ke1/huo1/a2/a4
979	喝	he1/ye4/he4/kai4
980	荷	he2/he4/he1
981	菏	he2/ge1
982	核	he2/gai1/kai4/hu2
983	禾	he2
984	和	he2/he4/huo4/huo2/hu2
985	何	he2/he4
986	合	he2/ge3
987	盒	he2/an1
988	貉	hao2/mo4/he2/ma4
989	阂	he2
990	河	he2
991	涸	he2
992	赫	he4/shi4
993	褐	he4
994	鹤	he4
995	贺	he4
996	嘿	hei1/mo4/mu4
997	黑	hei1
998	痕	hen2/gen4
999	很	hen3
1000	狠	hen3/yan2/ken3/hang3
1001	恨	hen4
1002	哼	heng1/hng
1003	亨	heng1/xiang3/peng1
1004	横	heng2/heng4/guang1/guang4/huang2/huang4
1005	衡	heng2
1006	恒	heng2
1007	轰	hong1
1008	哄	hong1/hong4/hong3
1009	烘	hong1
1010	虹	hong2/hong4/gong4/jiang4
1011	鸿	hong2
1012	洪	hong2
1013	宏	hong2
1014	弘	hong2
1015	红	hong2/gong1
1016	喉	hou2
1017	侯	hou2/hou4
1018	猴	hou2
1019	吼	hou3
1020	厚	hou4
1021	候	hou4
1022	后	hou4
1023	呼	hu1/xiao1/xu1/he4/xia4
1024	乎	hu1
1025	忽	hu1
1026	瑚	hu2
1027	壶	hu2
1028	葫	hu2
1029	胡	hu2
1030	蝴	hu2
1031	狐	hu2
1032	糊	hu2/hu1/hu4
1033	湖	hu2
1034	弧	hu2
1035	虎	hu3/hu4
1036	唬	hu3/xiao1/guo2/xia4/hao2
1037	护	hu4
1038	互	hu4
1039	沪	hu4
1040	户	hu4
1041	花	hua1
1042	哗	hua1/hua2
1043	华	hua2/hua4
1044	猾	hua2
1045	滑	hua2/gu3
1046	画	hua4
1047	划	hua4/guo4/guo3/hua2/huai
1048	化	hua4/hua1/huo4
1049	话	hua4
1050	槐	huai2
1051	徊	huai2/hui2
1052	怀	huai2/fu4
1053	淮	huai2
1054	坏	huai4/pi1/pei2
1055	欢	huan1
1056	环	huan2
1057	桓	huan2
1058	还	hai2/fu2/huan2
1059	缓	huan3
1060	换	huan4
1061	患	huan4
1062	唤	huan4
1063	痪	huan4/tuan3
1064	豢	huan4
1065	焕	huan4
1066	涣	huan4/hui4
1067	宦	huan4
1068	幻	huan4
1069	荒	huang1/huang3/kang1/huang2
1070	慌	huang1/huang3/huang
1071	黄	huang2
1072	磺	huang2/kuang4/gong3
1073	蝗	huang2
1074	簧	huang2
1075	皇	huang2/wang3
1076	凰	huang2
1077	惶	huang2
1078	煌	huang2
1079	晃	huang3/huang4
1080	幌	huang3
